Deployment.Location.ID,month,lepus_detections,ursus_detections,odocoileus_detections,canis_detections,lynx_detections,martes_detections,marmota_detections,rare_detections,effort,Latitude,Longitude,Park,Trail,Height,d.Trail,elevation,water_dist_m,mean_ndvi,recreation_site_month,Year,recreation_rate_site,canopy_cover,start_date,end_date,recreation_park_month,recreation_rate_park_month,year_effort,recreation_rate_park_year,recreation_park_year,dist_to_trail,rec_year_100,rec_month_100,rec_site_100,log_effort
JOFF03,30,5,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.70915,6434,2022,229.7857143,88.25,2022-07-27,2022-08-23,22467,47.70063694,1988,31.71881288,63057,0,3171.881288,4770.063694,22978.57143,3.36729583
JOFF03,31,3,0,0,0,0,0,0,0,6,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.7172,1355,2022,225.8333333,88.25,2022-08-24,2022-09-20,5071,123.6829268,1988,31.71881288,63057,0,3171.881288,12368.29268,22583.33333,1.945910149
JOFF03,29,6,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.693166667,6308,2022,225.2857143,88.25,2022-06-29,2022-07-26,23255,46.14087302,1988,31.71881288,63057,0,3171.881288,4614.087302,22528.57143,3.36729583
JOFF17,31,3,0,0,0,0,0,0,0,6,50.3646,-122.498,JOFF,On trail,0,NA,1220,1685.420318,0.73675,1246,2022,207.6666667,91.49,2022-08-24,2022-09-20,5071,123.6829268,1988,31.71881288,63057,0,3171.881288,12368.29268,20766.66667,1.945910149
JOFF15,30,1,0,0,0,1,0,0,0,28,50.3607,-122.492,JOFF,On trail,1.6,0,1318,1084.06439,0.8738,5724,2022,204.4285714,97.75,2022-07-27,2022-08-23,22467,47.70063694,1988,31.71881288,63057,0,3171.881288,4770.063694,20442.85714,3.36729583
GARI12,5,0,0,0,0,0,0,0,0,2,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.9128,407,2020,203.5,93.54,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,20350,1.098612289
JOFF15,31,2,0,0,0,0,0,0,0,6,50.3607,-122.492,JOFF,On trail,1.6,0,1318,1084.06439,0.8976,1192,2022,198.6666667,97.75,2022-08-24,2022-09-20,5071,123.6829268,1988,31.71881288,63057,0,3171.881288,12368.29268,19866.66667,1.945910149
GARI17,31,0,0,0,0,1,0,0,0,7,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.8629,1383,2022,197.5714286,73.94,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,19757.14286,2.079441542
JOFF15,29,0,0,0,0,0,0,0,0,28,50.3607,-122.492,JOFF,On trail,1.6,0,1318,1084.06439,0.881433333,5483,2022,195.8214286,97.75,2022-06-29,2022-07-26,23255,46.14087302,1988,31.71881288,63057,0,3171.881288,4614.087302,19582.14286,3.36729583
JOFF17,16,0,0,0,0,0,0,0,0,28,50.3646,-122.498,JOFF,On trail,0,NA,1220,1685.420318,0.8357,5482,2021,195.7857143,91.49,2021-06-30,2021-07-27,17240,34.20634921,3132,19.70114943,61704,0,1970.114943,3420.634921,19578.57143,3.36729583
